"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Nod1",0.64,0.73,0.98,0.81,-0.82,-1.26,-1.08
"Slc15a3",0.66,0.73,0.93,0.86,-0.83,-1.2,-1.14
"Tap2",0.6,0.79,0.92,0.85,-0.78,-1.27,-1.11
"Psmb8",0.64,0.82,0.91,0.79,-0.75,-1.29,-1.11
"Lnpk",0.69,0.78,0.92,0.78,-0.86,-1.28,-1.03
"Kremen1",0.69,0.8,0.86,0.81,-0.8,-1.33,-1.04
"Tut7",1.04,0.76,0.75,0.62,-0.86,-1.22,-1.08
"Tnip1",0.87,0.84,0.73,0.75,-0.96,-1.17,-1.07
"H2-T22",0.91,0.82,0.74,0.71,-0.89,-1.22,-1.07
"Gsdmd",0.88,0.8,0.87,0.64,-0.99,-1.14,-1.06
"Slc7a8",0.86,0.83,0.84,0.65,-0.91,-1.21,-1.07
"Znrf1",0.87,0.86,0.84,0.62,-0.97,-1.22,-1
"Uba7",0.8,0.82,0.83,0.74,-0.92,-1.22,-1.05
"Psmb10",0.78,0.78,0.85,0.78,-0.92,-1.25,-1.02
"Cldnd1",0.78,0.75,0.89,0.78,-1.01,-1.15,-1.04
"Naa25",0.74,0.81,0.83,0.81,-0.98,-1.22,-1
"Ddx24",0.76,0.86,0.82,0.77,-1.01,-1.16,-1.03
"Irgm2",0.92,0.62,0.79,0.84,-0.98,-1.26,-0.94
"Ube2f",0.93,0.69,0.84,0.72,-1.04,-1.22,-0.93
"Aida",0.78,0.74,0.85,0.81,-0.9,-1.33,-0.95
"Nlrc5",0.87,0.72,0.84,0.75,-0.83,-1.28,-1.06
"Tapbp",0.85,0.8,0.81,0.72,-0.86,-1.3,-1.03
"Parp10",0.93,0.79,0.68,0.79,-0.85,-1.14,-1.19
"Mthfr",0.88,0.8,0.69,0.83,-0.97,-1.14,-1.08
"Bcl2a1a",0.88,0.74,0.71,0.85,-0.92,-1.15,-1.13
"Igtp",0.76,0.83,0.81,0.8,-0.92,-1.07,-1.2
"Parp14",0.74,0.82,0.79,0.85,-0.96,-1.06,-1.18
"Sp100",0.82,0.78,0.77,0.83,-0.9,-1.16,-1.14
"Xaf1",0.8,0.79,0.79,0.83,-0.95,-1.14,-1.1
"Adar",0.78,0.8,0.8,0.82,-0.94,-1.13,-1.13
"Helz2",0.89,0.72,0.81,0.78,-0.93,-1.1,-1.16
"Mlkl",0.9,0.76,0.77,0.77,-0.98,-1.09,-1.13
"Mcoln2",0.91,0.76,0.73,0.8,-0.93,-1.09,-1.17
"Rigi",0.85,0.81,0.79,0.75,-0.99,-0.98,-1.23
"Ccl5",0.8,0.81,0.83,0.76,-0.94,-1.06,-1.19
"Rnf213",0.82,0.78,0.8,0.8,-0.98,-1.02,-1.2
"Abtb2",0.8,0.86,0.89,0.62,-0.77,-1.22,-1.16
"Cd47",0.84,0.77,0.86,0.69,-0.76,-1.24,-1.16
"Marcksl1",0.86,0.8,0.83,0.69,-0.81,-1.23,-1.14
"Phf11a",0.86,0.79,0.85,0.67,-0.82,-1.23,-1.12
"Ifi211",0.74,0.81,0.82,0.8,-0.83,-1.13,-1.23
"Rbpj",0.74,0.81,0.84,0.8,-0.83,-1.18,-1.17
"Ifit3b",0.7,0.84,0.83,0.8,-0.75,-1.17,-1.25
"Pde4b",0.7,0.87,0.86,0.75,-0.83,-1.12,-1.23
"Zc3h12a",0.74,0.87,0.77,0.79,-0.82,-1.12,-1.24
"Ikbke",0.69,0.9,0.81,0.74,-0.7,-1.27,-1.18
"Gm20559",0.76,0.86,0.82,0.74,-0.8,-1.22,-1.15
"Oasl1",0.75,0.83,0.82,0.77,-0.75,-1.23,-1.19
"Ifi35",0.73,0.82,0.82,0.8,-0.74,-1.26,-1.17
"Keap1",0.72,0.97,0.7,0.8,-0.92,-1.21,-1.05
"Rhbdf2",0.74,0.96,0.84,0.64,-0.88,-1.08,-1.22
"Phlda1",0.66,0.96,0.78,0.78,-0.94,-1.08,-1.17
"Ehd1",0.67,0.87,0.89,0.77,-0.92,-1.09,-1.17
"Stxbp1",0.66,0.89,0.9,0.74,-0.97,-1.07,-1.15
"9530082P21Rik",0.86,1.28,0.17,0.53,-0.34,-1.07,-1.44
"Map3k5",0.64,1.26,0.48,0.6,-0.54,-0.97,-1.48
"Ifnb1",0.22,1.53,0.47,0.58,-0.41,-1.17,-1.23
"Arl5b",0.35,1.34,0.28,0.91,-0.45,-1.09,-1.34
"Adamts4",0.25,1.47,0.08,0.91,-0.35,-1.28,-1.09
"Phgdh",0.17,1.51,0.03,0.93,-0.32,-1.2,-1.12
"Col5a3",-0.09,0.93,0.65,1.29,-0.65,-0.66,-1.47
"Smg7",0.03,1.16,0.72,1.04,-0.87,-0.8,-1.28
"Gbp11",0.13,0.95,0.58,1.21,-0.37,-1.16,-1.34
"Adamts1",0.04,0.97,0.62,1.25,-0.53,-0.94,-1.39
"Pik3r1",0.29,0.95,0.64,1.04,-0.38,-1.04,-1.51
"Gm12216",0.39,0.83,0.77,1.03,-0.49,-1.07,-1.45
"Sass6",0.35,0.84,0.85,0.95,-0.5,-0.93,-1.56
"Mamld1",0.29,1.07,0.27,1.18,-0.79,-0.44,-1.57
"BC055308",0.68,0.75,0.4,1.26,-1.13,-0.85,-1.11
"B230307C23Rik",0.63,0.81,0.59,1.1,-1.06,-0.81,-1.26
"Lcor",0.8,1,0.45,0.89,-1,-0.82,-1.31
"Ube2j1",0.6,0.93,0.47,1.06,-0.93,-0.67,-1.46
"Arhgap22",0.1,0.74,1.19,0.72,-0.27,-1.66,-0.82
"Mllt3",0.35,0.7,1.09,0.78,-0.33,-1.55,-1.04
"Lancl2",0.18,0.7,1.05,0.88,-0.17,-1.58,-1.05
"H2-T10",0.38,1.14,0.89,0.6,-0.62,-1.46,-0.93
"Laptm4a",0.16,1.09,0.98,0.71,-0.55,-1.47,-0.93
"Stard3",0.37,1.16,0.82,0.71,-0.64,-1.24,-1.18
"Stx11",0.33,1.1,0.86,0.68,-0.4,-1.39,-1.18
"Msantd3",0.33,1.06,0.84,0.8,-0.53,-1.35,-1.15
"Golga3",0.4,1.04,0.86,0.74,-0.5,-1.37,-1.17
"Tmed5",0.34,0.67,1.04,0.93,-0.39,-1.28,-1.3
"Slfn3",0.49,0.73,1.02,0.79,-0.44,-1.34,-1.25
"Atp1a1",0.39,0.71,1.03,0.86,-0.37,-1.39,-1.23
"Gm13822",0.52,0.66,1.06,0.8,-0.51,-1.47,-1.06
"A630001G21Rik",0.31,0.74,1.15,0.8,-0.55,-1.41,-1.05
"Cd200r4",0.39,0.78,1.05,0.81,-0.51,-1.4,-1.12
"Trim30a",0.46,0.75,0.99,0.89,-0.64,-1.32,-1.14
"Prdm1",0.36,0.81,0.91,0.98,-0.59,-1.34,-1.14
"Rbbp8",0.29,0.68,1.03,1.03,-0.63,-1.33,-1.07
"Slc12a6",0.37,0.61,1.06,0.99,-0.57,-1.27,-1.2
"Dcun1d5",0.12,1,1.11,0.64,-0.31,-1.35,-1.2
"Rrbp1",0.28,0.91,0.94,0.82,-0.34,-1.26,-1.35
"Slfn2",0.18,1.03,0.97,0.77,-0.4,-1.27,-1.27
"Micall2",0.22,1.02,0.97,0.73,-0.38,-1.24,-1.32
"Lhx2",0.33,0.92,1.05,0.7,-0.48,-1.4,-1.13
"Gpr85",0.31,0.96,0.92,0.81,-0.46,-1.36,-1.19
"Creb5",0.29,0.9,0.98,0.79,-0.36,-1.42,-1.17
"Mapk1ip1l",0.03,0.98,1.11,0.83,-0.63,-1.27,-1.05
"Pou3f1",0.11,1,1.04,0.82,-0.61,-1.37,-1
"Gm15753",0.09,0.93,1.03,0.91,-0.55,-1.37,-1.03
"Sp140l1",0.2,0.92,0.83,1.06,-0.57,-1.24,-1.19
"Ankrd33b",0.24,0.99,0.88,0.86,-0.46,-1.43,-1.09
"Lztfl1",0.11,0.99,0.87,0.95,-0.41,-1.38,-1.13
"Ccnj",0.36,1.06,0.38,1.17,-1.05,-1.35,-0.57
"Pfdn2",0.36,0.99,0.68,1,-1.15,-1.35,-0.53
"Blnk",0.47,0.74,0.71,1.1,-1.05,-1.47,-0.5
"Inpp1",-0.03,0.89,0.82,1.21,-1.24,-1.12,-0.54
"Rnf24",-0.05,1.07,0.79,1.12,-1.06,-1.15,-0.72
"Ccdc71l",-0.16,1.24,0.76,0.98,-0.94,-1.27,-0.62
"Iqsec2",-0.05,1.1,0.9,0.97,-0.96,-1.27,-0.69
"Dnaja2",0.09,0.81,1.25,0.86,-0.93,-0.98,-1.1
"Ubr4",0.04,0.82,1.18,0.95,-1.01,-0.82,-1.16
"Cst7",0.24,0.96,1.05,0.83,-1.04,-0.86,-1.18
"Zfp710",0.19,0.97,1.14,0.75,-0.99,-0.87,-1.2
"Dusp4",0.03,0.95,1.14,0.88,-1.01,-0.85,-1.13
"Elavl1",0.1,0.99,1.06,0.87,-1.08,-0.8,-1.14
"Tent2",0.19,0.82,1.16,0.87,-1.1,-1.19,-0.76
"Nfe2l2",0.11,0.96,1.01,0.94,-1.15,-1.12,-0.75
"Arf4",0.26,0.77,1.14,0.92,-1.14,-0.95,-1
"Ripk2",0.24,0.93,1.07,0.85,-1.11,-1.03,-0.96
"Ccdc59",0.27,0.92,1.09,0.82,-1.14,-1.04,-0.92
"Rnf31",0.39,0.86,1.05,0.85,-1.05,-1.1,-0.99
"Slc25a25",0.33,0.9,1.06,0.84,-1.03,-1.09,-1.01
"Fzd1",0.14,0.98,1.09,0.84,-1,-1.03,-1.03
"Ilrun",0.24,1.01,1.02,0.82,-1.08,-0.98,-1.04
"Cers6",0.28,0.93,0.96,0.95,-1.12,-1.03,-0.96
"Irf1",0.2,0.91,1.05,0.91,-1.19,-0.94,-0.95
"Wdr43",0.15,0.99,0.98,0.95,-1.16,-0.99,-0.92
"Gnb4",0.2,0.88,1.12,0.86,-0.82,-1.23,-1
"Rnf145",0.28,0.9,1.05,0.86,-0.85,-1.22,-1.02
"Adgrg6",0.26,0.84,1.07,0.91,-0.93,-1.26,-0.9
"Hnrnph3",0.28,0.84,1.04,0.9,-0.84,-1.37,-0.86
"Atm",0.24,0.66,1.13,1.04,-0.99,-1.11,-0.97
"Llgl1",0.18,0.65,1.11,1.07,-0.75,-1.24,-1.03
"Nfe2l1",0.14,1.04,0.92,0.93,-0.78,-1.25,-1
"Snw1",0.08,1.03,1,0.91,-0.87,-1.12,-1.03
"Gm6548",0.12,0.96,0.97,0.98,-0.75,-1.19,-1.09
"Ube2d3",0.08,0.97,1.05,0.92,-0.77,-1.16,-1.08
"Tmem178",-0.14,1.04,0.91,1.11,-0.88,-1.1,-0.93
"Eef1akmt4",-0.03,1.07,0.82,1.09,-0.71,-1.21,-1.03
"Clmp",0.37,0.95,0.85,0.96,-0.92,-1.19,-1.02
"Frmd4a",0.26,0.94,0.87,1.03,-1,-1.13,-0.98
"Cdkn1a",0.25,1.1,0.91,0.83,-1.04,-1.14,-0.91
"Rab3ip",0.28,1.04,0.91,0.87,-1.03,-1.15,-0.93
"Ppp6r1",0.25,1.02,1.01,0.81,-0.94,-1.11,-1.05
"Rhog",0.25,1.06,0.95,0.82,-0.91,-1.21,-0.97
"Rrs1",0.06,1,0.88,1.07,-1.15,-1,-0.87
"Gspt1",0.1,0.91,0.96,1.07,-1.09,-1.01,-0.94
"Atf4",0.17,0.95,0.91,1.04,-1.13,-1.05,-0.88
"Src",0.18,1.03,0.97,0.9,-1.02,-1.01,-1.05
"Rassf4",0.21,1.05,0.89,0.93,-1.04,-0.94,-1.1
"Luc7l3",0.16,1.04,0.88,0.98,-0.93,-1.03,-1.11
"Dlgap4",0.08,1.07,0.95,0.93,-0.93,-0.96,-1.14
"Dync1li1",0.14,1.07,0.66,1.15,-0.84,-0.99,-1.18
"Csnk2a2",0.28,0.95,0.66,1.16,-0.7,-1.09,-1.25
"Ccdc86",0.21,1.25,0.66,0.89,-0.71,-1.27,-1.03
"Hps3",0.33,1.09,0.68,0.98,-0.88,-1.31,-0.89
"Spred1",0.31,0.76,1.04,0.99,-1.12,-1.12,-0.87
"Tent4a",0.42,0.79,0.99,0.93,-1.18,-1.1,-0.86
"Mtf2",0.37,0.8,0.96,1,-1.13,-1.09,-0.91
"Rab12",0.44,0.75,1.03,0.93,-1.09,-1.04,-1.02
"Cggbp1",0.5,0.79,0.96,0.91,-1.11,-1.08,-0.98
"Ube2a",0.49,0.81,1.05,0.81,-1.13,-1.11,-0.91
"Spryd7",0.46,0.85,0.98,0.87,-1.14,-1.08,-0.94
"Prpf38a",0.49,0.89,0.94,0.85,-1.15,-1.12,-0.9
"Parp9",0.58,0.82,0.88,0.88,-0.97,-1.31,-0.88
"Ube2d2a",0.36,0.81,0.88,1.05,-1.02,-1.29,-0.79
"Map3k8",0.46,0.99,0.93,0.77,-1.02,-1.2,-0.92
"Mthfd2",0.48,0.95,0.88,0.85,-0.99,-1.17,-1
"Trafd1",0.49,0.94,0.92,0.81,-0.94,-1.17,-1.05
"Nlrp3",0.57,0.92,0.93,0.77,-1.01,-1.1,-1.07
"Fndc3a",0.55,0.87,0.9,0.86,-0.99,-1.11,-1.08
"Oas3",0.6,0.9,0.88,0.81,-0.98,-1.1,-1.1
"Tpst1",0.58,0.91,0.89,0.81,-0.94,-1.15,-1.09
"Morc3",0.57,0.83,0.92,0.86,-1.05,-1.18,-0.95
"Il15ra",0.64,0.84,0.84,0.87,-0.99,-1.2,-1
"Mbnl2",0.63,0.91,0.85,0.79,-1.02,-1.18,-0.99
"Ogfr",0.58,0.91,0.87,0.83,-1,-1.19,-1
"Asf1a",0.59,0.9,0.84,0.85,-1,-1.2,-0.98
"Hmox2",0.5,1.02,0.94,0.71,-1.07,-1.07,-1.02
"Tmcc3",0.44,1.01,1.01,0.69,-1.11,-1.09,-0.94
"Dbnl",0.48,1.02,0.96,0.69,-1.12,-1.08,-0.95
"Rbl1",0.52,0.9,1.07,0.66,-1,-1.04,-1.12
"Sdc4",0.45,0.89,1.01,0.81,-0.96,-1.02,-1.18
"Mtmr14",0.38,0.98,0.98,0.8,-1,-1.05,-1.09
"Unk",0.36,0.96,1.05,0.76,-0.95,-1.07,-1.1
"Il15",0.41,0.84,0.98,0.9,-0.97,-0.9,-1.26
"Dcp2",0.41,0.72,0.95,1.05,-0.97,-0.98,-1.18
"Flrt2",0.27,0.98,1.06,0.78,-0.83,-1.14,-1.13
"Aldh1b1",0.37,0.93,1.01,0.82,-0.84,-1.1,-1.18
"Cacybp",0.34,0.96,1,0.83,-0.91,-1.07,-1.14
"Pcgf5",0.32,0.87,1,0.93,-0.9,-1.13,-1.09
"Slc31a2",0.32,0.91,0.96,0.91,-0.78,-1.22,-1.1
"Il27",0.4,0.92,1,0.8,-0.78,-1.08,-1.25
"Slc2a6",0.48,0.89,0.91,0.86,-0.77,-1.14,-1.23
"Nfkb2",0.48,0.94,0.91,0.82,-0.8,-1.15,-1.2
"Tmem243",0.46,0.78,1.04,0.87,-0.86,-1.12,-1.17
"Themis2",0.55,0.81,1.04,0.75,-0.8,-1.2,-1.14
"Brd2",0.49,0.83,1.03,0.79,-0.74,-1.22,-1.16
"Nup54",0.72,0.46,0.49,1.38,-0.96,-1.15,-0.94
"Mob1b",0.84,0.29,0.72,1.22,-1.02,-1.21,-0.84
"Pdcd10",0.97,0.45,0.58,1.1,-1.02,-1.25,-0.83
"Nt5c3",0.54,0.74,0.7,1.16,-1.15,-1.11,-0.88
"Trio",0.5,0.7,0.79,1.14,-1.07,-1.21,-0.85
"Ccdc25",0.75,0.5,0.85,1.05,-0.98,-1.27,-0.89
"Setd1b",0.85,0.65,0.73,0.95,-1.06,-1.23,-0.89
"Gm14636",0.74,0.42,0.9,1.01,-0.71,-1.46,-0.9
"Tent5c",0.65,0.29,0.89,1.14,-0.71,-1.53,-0.73
"Eml4",0.46,0.56,1.03,0.99,-1.08,-1.39,-0.58
"Ift22",0.67,0.61,0.9,0.93,-0.94,-1.46,-0.71
"Col27a1",0.42,0.83,0.59,1.17,-0.5,-1.33,-1.18
"Fnbp4",0.62,0.74,0.61,1.14,-0.73,-1.26,-1.12
"Ptpn2",0.33,0.74,0.87,1.13,-0.76,-1.35,-0.96
"Ppfia1",0.55,0.75,0.79,0.97,-0.57,-1.51,-0.98
"Myo1g",0.62,0.72,0.76,1,-0.64,-1.41,-1.06
"Dhps",0.7,1.01,0.57,0.83,-0.66,-1.36,-1.09
"Cgas",0.79,0.81,0.66,0.88,-0.69,-1.37,-1.08
"Orai2",0.74,0.84,0.64,0.92,-0.75,-1.4,-0.98
"Spaca6",0.7,0.87,0.73,0.82,-0.65,-1.35,-1.13
"Gm7160",0.62,0.86,0.79,0.88,-0.74,-1.39,-1.01
"Ifi213",0.39,0.93,0.85,0.91,-0.62,-1.4,-1.05
"Polr2c",0.47,0.92,0.83,0.85,-0.56,-1.4,-1.11
"Adora2a",0.47,0.99,0.89,0.78,-0.73,-1.31,-1.08
"Herc6",0.48,0.87,0.9,0.88,-0.74,-1.28,-1.11
"Plcl2",0.45,0.86,0.92,0.9,-0.74,-1.27,-1.12
"Batf2",0.43,0.88,0.95,0.83,-0.64,-1.25,-1.21
"Rnf135",0.41,0.89,0.97,0.85,-0.76,-1.21,-1.16
"Pnp2",0.59,0.83,0.89,0.74,-0.45,-1.46,-1.13
"Xkr8",0.55,0.89,0.89,0.79,-0.66,-1.38,-1.07
"Cebpb",0.55,0.89,0.88,0.75,-0.55,-1.43,-1.1
"Gm16181",0.61,0.91,0.74,0.84,-0.57,-1.32,-1.22
"Pdcl3",0.53,0.93,0.79,0.85,-0.59,-1.34,-1.18
"Tnfsf10",0.53,0.78,0.89,0.9,-0.58,-1.25,-1.27
"Morrbid",0.55,0.85,0.88,0.83,-0.58,-1.27,-1.26
"Tapbpl",0.58,0.81,0.87,0.83,-0.55,-1.28,-1.27
"Plekha4",0.64,0.86,0.79,0.81,-0.51,-1.26,-1.32
"Mx2",0.56,0.89,0.84,0.83,-0.63,-1.21,-1.28
"Slfn1",0.53,0.9,0.87,0.81,-0.59,-1.23,-1.29
"Caml",0.56,0.91,0.83,0.81,-0.6,-1.24,-1.28
"Gm45640",0.7,1.2,0.31,0.7,-0.35,-1.43,-1.13
"Gm46224",0.83,1.11,0.36,0.77,-0.64,-1.18,-1.25
"Mon1b",0.75,1,0.54,0.85,-0.75,-1.13,-1.26
"Eif2s2",0.74,0.99,0.62,0.81,-0.79,-1.22,-1.15
"Mtdh",0.82,1.03,0.55,0.75,-0.8,-1.22,-1.13
"Npc2",0.48,1.32,0.64,0.56,-0.72,-1.44,-0.85
"Cdkn2b",0.59,1.23,0.48,0.75,-0.61,-1.35,-1.08
"Gca",0.37,1.33,0.57,0.72,-0.61,-1.31,-1.08
"Gm29367",0.69,1.11,0.27,0.94,-0.69,-1.44,-0.89
"Chac1",0.55,1.19,0.46,0.83,-0.77,-1.46,-0.81
"Fosl1",0.59,1.14,0.48,0.79,-0.78,-1.59,-0.62
"Dusp28",0.46,0.92,0.72,0.85,-0.54,-1.72,-0.68
"Lats1",0.51,0.97,0.9,0.63,-0.75,-1.61,-0.65
"Rbms1",0.7,0.99,0.72,0.61,-0.72,-1.64,-0.65
"Tefm",0.62,0.94,0.48,0.85,-0.85,-1.71,-0.33
"Agpat2",0.49,1.23,0.65,0.49,-0.78,-1.67,-0.41
"Abcb1a",0.57,0.63,1.19,0.67,-0.8,-1.47,-0.78
"Trim13",0.59,0.6,1.1,0.82,-0.78,-1.37,-0.96
"Nab1",0.46,0.68,1.09,0.85,-0.73,-1.38,-0.99
"Ankle2",0.54,1.03,0.9,0.63,-0.75,-1.42,-0.93
"Med7",0.58,0.97,1.03,0.53,-0.88,-1.37,-0.86
"Arhgef37",0.39,0.96,1.06,0.64,-0.64,-1.35,-1.06
"Pnpt1",0.41,0.95,0.97,0.75,-0.66,-1.4,-1.02
"Tyk2",0.46,0.97,0.99,0.65,-0.67,-1.41,-1
"Ext1",0.34,0.97,1.12,0.65,-0.84,-1.28,-0.96
"Tcf4",0.51,0.9,1.03,0.68,-0.82,-1.34,-0.97
"Sh3glb1",0.45,0.91,1.03,0.73,-0.91,-1.33,-0.88
"Scarf1",0.77,0.96,0.77,0.66,-1.08,-1.29,-0.78
"Xrn2",0.71,0.93,0.91,0.59,-1.1,-1.28,-0.76
"Tdrd7",0.69,0.92,0.91,0.66,-1.16,-1.16,-0.86
"Abr",0.69,0.93,0.83,0.72,-1.14,-1.2,-0.83
"Tmem229b",0.6,0.91,0.84,0.82,-1.11,-1.24,-0.82
"Larp1",0.66,0.99,0.83,0.69,-1.05,-1.27,-0.85
"Tmed1",0.63,0.97,0.85,0.73,-1.07,-1.18,-0.94
"Poldip3",0.73,1.08,0.7,0.58,-1.05,-1.39,-0.66
"St3gal3",0.5,0.96,0.94,0.67,-1.16,-1.37,-0.53
"Hnrnpdl",0.62,0.93,0.83,0.72,-1.2,-1.34,-0.55
"Itprip",0.79,1.09,0.83,0.39,-0.94,-1.31,-0.86
"Smg8",0.79,0.97,0.91,0.48,-0.95,-1.23,-0.98
"Med28",0.94,0.76,0.84,0.51,-0.9,-1.55,-0.61
"Slc25a12",0.7,0.82,0.95,0.66,-1.01,-1.39,-0.73
"Reps1",0.63,0.83,0.89,0.75,-0.87,-1.5,-0.74
"Itga5",0.08,1.33,0.67,0.37,0.14,-1.69,-0.89
"2310011J03Rik",0,1.17,0.67,0.76,-0.11,-1.74,-0.76
"Celf1",0.38,1.04,0.52,0.78,0.01,-1.63,-1.1
"Rnaset2b",0.59,0.94,0.78,0.54,-0.1,-1.57,-1.18
"Rasa2",0.36,1.02,0.91,0.6,-0.22,-1.5,-1.16
"Rffl",0.17,1.3,0.73,0.59,-0.19,-1.32,-1.27
"Gm42820",0.23,1.21,0.76,0.55,-0.11,-1.59,-1.04
"Rexo1",0.03,1.05,0.81,0.83,-0.05,-1.33,-1.34
"Glrp1",0.35,0.86,0.87,0.72,-0.05,-1.51,-1.26
"Crlf3",0.31,0.95,0.95,0.58,-0.05,-1.35,-1.39
"Prkrip1",0.09,1.17,1.22,0.32,-0.5,-1.42,-0.88
"Maff",0.09,0.95,1.12,0.8,-0.83,-1.39,-0.75
"Cndp2",0.09,0.99,1.13,0.73,-0.83,-1.41,-0.7
"Pgap2",0.03,1.21,0.98,0.76,-0.85,-1.17,-0.96
"Tagln2",0.11,1.25,1.07,0.54,-1.02,-1.07,-0.89
"Zfp703",-0.49,1.47,0.64,0.83,-0.33,-1.32,-0.8
"Fbn1",-0.23,1.33,0.59,1.01,-0.39,-1.13,-1.18
"Gm12764",-0.19,1.13,0.81,0.98,-0.29,-1.31,-1.14
"Slc25a28",-0.08,1.22,0.8,0.85,-0.35,-1.33,-1.11
"Tgs1",0.11,1.22,0.7,0.87,-0.49,-0.97,-1.43
"Minpp1",0.05,1.19,0.79,0.88,-0.57,-0.92,-1.42
"Gm11772",-0.03,1.18,1.03,0.68,-0.46,-1.08,-1.31
"Ubap1",-0.18,1.24,0.93,0.75,-0.37,-1.02,-1.34
"Ptpn6",-0.12,1.19,1.06,0.63,-0.35,-1.32,-1.09
"Trir",-0.12,1.16,1.21,0.54,-0.49,-1.13,-1.16
"AI837181",-0.43,1.22,1.09,0.71,-0.35,-1.15,-1.09
"Tmem132e",-0.22,1.09,1.15,0.7,-0.36,-1.28,-1.09
"Syf2",-0.2,1.01,1.12,0.84,-0.43,-1.29,-1.06
"Cep350",-0.06,1.15,1.04,0.76,-0.65,-0.99,-1.27
"Fbrs",-0.18,1.05,1.23,0.72,-0.6,-1.03,-1.19
"Gna15",-0.27,1.09,0.96,1.01,-0.56,-1.07,-1.15
"Mark2",-0.26,1.31,0.89,0.82,-0.59,-1.03,-1.15
"Usp31",0.01,0.73,1.48,0.68,-0.85,-0.92,-1.12
"Mapk6",0.07,0.81,1.33,0.76,-0.92,-1.13,-0.93
"Irf8",0.43,0.46,1.66,0.34,-0.88,-1.01,-0.98
"Optn",0.45,0.57,1.38,0.62,-0.81,-1.31,-0.91
"Pigv",0.27,0.69,1.43,0.59,-0.95,-1.23,-0.8
"Nacc1",0.33,0.77,1.36,0.57,-0.91,-1.19,-0.93
"Rfc3",-0.14,0.71,1.44,0.78,-0.63,-0.84,-1.3
"Caprin1",-0.29,0.81,1.31,0.87,-0.62,-0.72,-1.36
"Csrp1",-0.15,0.76,1.5,0.65,-0.53,-1.1,-1.11
"Zfp800",-0.03,0.9,1.16,0.81,-0.38,-1.16,-1.3
"A330040F15Rik",-0.25,0.94,1.23,0.79,-0.34,-1.1,-1.27
"Stx2",-0.22,0.87,1.22,0.89,-0.39,-1.2,-1.16
"Tlr6",0.29,1.11,1.1,0.43,-0.78,-0.67,-1.49
"Plod3",0.19,1.22,1.16,0.38,-0.78,-0.97,-1.21
"Shisa3",0.4,0.91,0.96,0.76,-0.47,-1.26,-1.31
"Rab21",0.36,0.82,1.01,0.82,-0.45,-1.2,-1.36
"Nfkbiz",0.43,0.94,0.85,0.86,-0.57,-1.19,-1.31
"Stip1",0.44,0.96,0.83,0.85,-0.55,-1.26,-1.26
"Pdgfrb",0.29,1.04,0.95,0.75,-0.55,-1.18,-1.29
"Kif3c",0.45,1.02,0.89,0.69,-0.5,-1.21,-1.33
"Bfar",0.46,0.8,1.1,0.73,-0.71,-1.03,-1.36
"Cxcl16",0.56,0.75,1.02,0.75,-0.58,-1.15,-1.36
"Il18",0.64,0.79,0.99,0.7,-0.66,-1.1,-1.36
"Kdm4a",0.61,0.79,0.97,0.75,-0.71,-1.02,-1.4
"Bambi-ps1",0.5,1.03,0.86,0.64,-0.53,-1.01,-1.5
"Gramd1a",0.49,0.93,0.89,0.69,-0.45,-0.99,-1.57
"4933412E12Rik",0.56,0.84,0.87,0.8,-0.48,-1.13,-1.44
"Dtx3l",0.6,0.83,0.82,0.84,-0.58,-1.03,-1.48
"Tardbp",0.16,1.01,1.07,0.79,-0.94,-0.78,-1.31
"Clcf1",0.3,1.03,0.97,0.78,-0.95,-0.84,-1.3
"Ppip5k2",0.2,1.13,0.94,0.78,-0.97,-0.84,-1.24
"Usp40",0.45,1.02,0.95,0.66,-0.8,-0.84,-1.44
"Relb",0.41,0.94,0.98,0.76,-0.8,-0.92,-1.38
"Nfxl1",0.34,0.95,1.08,0.7,-0.78,-0.91,-1.37
"Plaat3",0.45,0.9,1.1,0.66,-0.75,-1.13,-1.23
"Rcn1",0.37,0.96,1.13,0.62,-0.76,-1.12,-1.21
"Acot9",0.26,0.79,1.11,0.92,-0.84,-1.03,-1.21
"Mdfic",0.25,0.85,1.09,0.89,-0.84,-1.08,-1.16
"Icam1",0.3,0.93,0.99,0.88,-0.87,-0.99,-1.25
"Osgin2",0.21,0.97,1.05,0.84,-0.88,-0.93,-1.26
"Gdf15",0.08,1.02,1.08,0.78,-0.64,-1.07,-1.27
"Ncoa5",0.18,0.96,1.04,0.84,-0.63,-1.18,-1.21
"Tlr1",0.13,1.07,1.07,0.77,-0.82,-1.08,-1.13
"Psmd7",0.09,1.01,1,0.93,-0.82,-0.97,-1.23
"Zc2hc1a",0.08,0.96,1.12,0.77,-0.6,-0.92,-1.42
"Pakap",0.25,0.82,1.16,0.8,-0.7,-0.98,-1.35
"Il12a",0.18,0.94,0.99,0.91,-0.73,-0.94,-1.36
"Vcam1",0.19,0.78,1.06,0.98,-0.68,-0.96,-1.38
"Il13ra1",-0.2,0.57,1.31,0.7,0.11,-0.84,-1.65
"Zfp422",-0.2,0.53,1.13,0.97,0.06,-0.8,-1.68
"Rpe",0.1,0.35,1.14,1.11,-0.24,-0.88,-1.58
"Trip12",-0.05,0.11,1.33,0.95,0.2,-1.1,-1.43
